IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.238.5.0,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,14.93
60.246.180.236,32544,443,true,HKG,Asia Pacific,Hong Kong,28,13.74
47.238.40.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,7,12.80
47.76.29.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,25,11.04
47.238.43.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,9,10.49
47.76.192.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,23,9.74
47.76.227.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,22,9.53
47.238.0.114,2053,2053,true,HKG,Asia Pacific,Hong Kong,11,9.43
47.76.98.98,2083,2083,true,HKG,Asia Pacific,Hong Kong,11,9.34
47.76.222.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,8.21
47.238.35.50,2087,2087,true,HKG,Asia Pacific,Hong Kong,34,7.77
47.76.227.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,46,7.21
47.238.5.0,2083,2083,true,HKG,Asia Pacific,Hong Kong,21,7.12
47.76.227.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,18,7.08
47.76.214.139,2096,2096,true,HKG,Asia Pacific,Hong Kong,11,6.80
47.76.189.102,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,6.79
47.76.233.67,2053,2053,true,HKG,Asia Pacific,Hong Kong,36,6.25
47.76.98.98,2096,2096,true,HKG,Asia Pacific,Hong Kong,23,5.85
47.76.227.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,9,5.73
47.76.26.26,2096,2096,true,HKG,Asia Pacific,Hong Kong,18,5.64
47.76.233.67,8443,8443,true,HKG,Asia Pacific,Hong Kong,25,5.46
47.76.225.255,2087,2087,true,HKG,Asia Pacific,Hong Kong,27,5.40
47.76.98.98,2053,2053,true,HKG,Asia Pacific,Hong Kong,26,5.31
47.76.214.139,2083,2083,true,HKG,Asia Pacific,Hong Kong,23,5.11
47.76.98.98,8443,8443,true,HKG,Asia Pacific,Hong Kong,40,4.63
47.76.225.255,2053,2053,true,HKG,Asia Pacific,Hong Kong,26,4.26
47.238.5.0,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,4.22
58.82.242.199,11228,443,true,HKG,Asia Pacific,Hong Kong,27,4.19
47.76.227.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,29,4.17
58.82.242.199,12170,443,true,HKG,Asia Pacific,Hong Kong,47,3.97
47.76.227.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,26,3.92
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,24,3.75
47.76.94.15,2096,2096,true,HKG,Asia Pacific,Hong Kong,18,3.42
47.76.94.15,2053,2053,true,HKG,Asia Pacific,Hong Kong,17,2.68
47.238.6.102,2082,2082,false,HKG,Asia Pacific,Hong Kong,7,2.55
58.82.242.199,23559,443,true,HKG,Asia Pacific,Hong Kong,41,1.50
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,8,1.22
8.210.164.75,8443,8443,true,HKG,Asia Pacific,Hong Kong,26,1.06
47.243.86.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,11,0.85
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,0.55
8.210.55.134,8443,8443,true,HKG,Asia Pacific,Hong Kong,9,0.34
47.243.86.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,22,0.30
47.239.10.224,443,443,true,HKG,Asia Pacific,Hong Kong,23,0.29
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,25,0.27
8.210.55.134,2096,2096,true,HKG,Asia Pacific,Hong Kong,9,0.19
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,11,0.18
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,0.11
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,30,0.11
47.243.86.79,80,80,false,HKG,Asia Pacific,Hong Kong,9,0.02
8.218.3.12,8080,8080,false,HKG,Asia Pacific,Hong Kong,7,0.01
219.76.13.164,443,443,true,HKG,Asia Pacific,Hong Kong,30,0.00
103.220.72.40,443,0,true,HKG,Asia Pacific,Hong Kong,8,0.00
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,17,0.00
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,8,0.00
156.251.176.48,21952,443,true,HKG,Asia Pacific,Hong Kong,156,0.00
43.128.26.74,443,443,true,HKG,Asia Pacific,Hong Kong,7,0.00
219.76.13.181,443,443,true,HKG,Asia Pacific,Hong Kong,19,0.00
219.76.13.180,443,443,true,HKG,Asia Pacific,Hong Kong,18,0.00
